车辆ID,日期,油耗,标记,车牌
50005090,2015/11/1,88.41,H,26111
50005106,2015/11/1,0,L,26112
50005018,2015/11/1,50.61,M,26113
50005096,2015/11/1,95.12,H,26114
50005086,2015/11/1,44.49,L,26115
50005013,2015/11/1,78.51,M,26116
50005098,2015/11/1,77.79,M,26117
50005102,2015/11/1,88.88,H,26118
50005020,2015/11/1,50,L,26119
50005099,2015/11/1,47.13,L,26120
50005084,2015/11/1,88.89,H,26121
50005093,2015/11/1,69.54,M,26122
50005097,2015/11/1,82.01,H,26123
50005111,2015/11/1,57.81,M,26124
50005021,2015/11/1,59.79,M,26125
50005095,2015/11/1,50,L,26126
50005088,2015/11/1,85.47,H,26127
50005017,2015/11/1,59.21,M,26128
50005087,2015/11/1,77.86,M,26129
50005014,2015/11/1,50,L,26130
50005023,2015/11/1,66.5,M,26131
50005091,2015/11/1,54.96,M,26132
50005105,2015/11/1,96.02,H,26133
50005100,2015/11/1,61.36,M,26134
50005085,2015/11/1,0,L,26135
50005016,2015/11/1,0,L,26136
50005109,2015/11/1,0,L,26137
50005089,2015/11/1,91.22,H,26138
50005090,2015/11/2,47.13,L,26111
50005106,2015/11/2,85.03,H,26112
50005018,2015/11/2,53,M,26113
50005096,2015/11/2,53.06,M,26114
50005086,2015/11/2,66.66,H,26115
50005013,2015/11/2,69.76,H,26116
50005098,2015/11/2,55.04,M,26117
50005102,2015/11/2,52.01,M,26118
50005020,2015/11/2,44.92,L,26119
50005099,2015/11/2,50,L,26120
50005084,2015/11/2,58,M,26121
50005093,2015/11/2,0,L,26122
50005097,2015/11/2,64.25,M,26123
50005111,2015/11/2,52.53,M,26124
50005021,2015/11/2,50.51,M,26125
50005095,2015/11/2,50.07,M,26126
50005088,2015/11/2,0,L,26127
50005017,2015/11/2,77.31,H,26128
50005087,2015/11/2,50.03,L,26129
50005014,2015/11/2,52.15,M,26130
50005023,2015/11/2,66.87,H,26131
50005091,2015/11/2,52.04,M,26132
50005105,2015/11/2,0,L,26133
50005100,2015/11/2,60.95,M,26134
50005085,2015/11/2,90.03,H,26135
50005016,2015/11/2,83.43,H,26136
50005109,2015/11/2,100.01,H,26137
50005089,2015/11/2,0,L,26138
50005090,2015/11/3,78.33,H,26111
50005106,2015/11/3,37.99,M,26112
50005018,2015/11/3,50,M,26113
50005096,2015/11/3,51.55,M,26114
50005086,2015/11/3,47.54,M,26115
50005013,2015/11/3,0,L,26116
50005098,2015/11/3,63.28,H,26117
50005102,2015/11/3,75.01,H,26118
50005020,2015/11/3,50,M,26119
50005099,2015/11/3,50,M,26120
50005084,2015/11/3,0,L,26121
50005093,2015/11/3,49.16,M,26122
50005097,2015/11/3,0,L,26123
50005111,2015/11/3,0,L,26124
50005021,2015/11/3,49.03,M,26125
50005095,2015/11/3,60,M,26126
50005088,2015/11/3,52.71,M,26127
50005017,2015/11/3,34.56,L,26128
50005087,2015/11/3,61.09,H,26129
50005014,2015/11/3,50,M,26130
50005023,2015/11/3,0,L,26131
50005091,2015/11/3,58.48,M,26132
50005105,2015/11/3,72.03,H,26133
50005100,2015/11/3,65.91,H,26134
50005085,2015/11/3,0,L,26135
50005016,2015/11/3,0,L,26136
50005109,2015/11/3,78.82,H,26137
50005089,2015/11/3,92.23,H,26138
50005090,2015/11/4,0,L,26111
50005106,2015/11/4,62.01,M,26112
50005018,2015/11/4,45.75,L,26113
50005096,2015/11/4,70.37,H,26114
50005086,2015/11/4,58.64,M,26115
50005013,2015/11/4,100,H,26116
50005098,2015/11/4,50.04,M,26117
50005102,2015/11/4,0,L,26118
50005020,2015/11/4,51.13,M,26119
50005099,2015/11/4,60,M,26120
50005084,2015/11/4,0,L,26121
50005093,2015/11/4,54.81,M,26122
50005097,2015/11/4,80,H,26123
50005111,2015/11/4,62.63,M,26124
50005021,2015/11/4,54.26,M,26125
50005095,2015/11/4,50,M,26126
50005088,2015/11/4,60.02,M,26127
50005017,2015/11/4,71,H,26128
50005087,2015/11/4,49.78,M,26129
50005014,2015/11/4,0,L,26130
50005023,2015/11/4,86.93,H,26131
50005091,2015/11/4,50,M,26132
50005105,2015/11/4,72.73,H,26133
50005100,2015/11/4,46.3,L,26134
50005085,2015/11/4,87.78,H,26135
50005016,2015/11/4,84.36,H,26136
50005109,2015/11/4,0,L,26137
50005089,2015/11/4,84.01,H,26138
50005090,2015/11/5,0,L,26111
50005106,2015/11/5,51.9,M,26112
50005018,2015/11/5,54.99,M,26113
50005096,2015/11/5,0,L,26114
50005086,2015/11/5,41.08,L,26115
50005013,2015/11/5,61.99,H,26116
50005098,2015/11/5,48.04,M,26117
50005102,2015/11/5,79.8,H,26118
50005020,2015/11/5,49.81,M,26119
50005099,2015/11/5,67.2,H,26120
50005084,2015/11/5,107.46,H,26121
50005093,2015/11/5,51.35,M,26122
50005097,2015/11/5,0,L,26123
50005111,2015/11/5,41.86,M,26124
50005021,2015/11/5,57.61,M,26125
50005095,2015/11/5,50.46,M,26126
50005088,2015/11/5,47.14,M,26127
50005017,2015/11/5,30.1,L,26128
50005087,2015/11/5,55,M,26129
50005014,2015/11/5,50,M,26130
50005023,2015/11/5,0,L,26131
50005091,2015/11/5,55,M,26132
50005105,2015/11/5,0,L,26133
50005100,2015/11/5,58.79,H,26134
50005085,2015/11/5,80.02,H,26135
50005016,2015/11/5,73.8,H,26136
50005109,2015/11/5,85.66,H,26137
50005089,2015/11/5,0,L,26138
50005090,2015/11/6,88.71,H,26111
50005106,2015/11/6,50.03,M,26112
50005018,2015/11/6,49.02,M,26113
50005096,2015/11/6,89.03,H,26114
50005086,2015/11/6,56.56,M,26115
50005013,2015/11/6,0,L,26116
50005098,2015/11/6,50,M,26117
50005102,2015/11/6,0,M,26118
50005020,2015/11/6,40,L,26119
50005099,2015/11/6,40,L,26120
50005084,2015/11/6,0,L,26121
50005093,2015/11/6,53,M,26122
50005097,2015/11/6,94.56,H,26123
50005111,2015/11/6,47.59,M,26124
50005021,2015/11/6,57.2,M,26125
50005095,2015/11/6,50,M,26126
50005088,2015/11/6,60,M,26127
50005017,2015/11/6,78.68,H,26128
50005087,2015/11/6,47.01,L,26129
50005014,2015/11/6,55,M,26130
50005023,2015/11/6,93.72,H,26131
50005091,2015/11/6,49.99,M,26132
50005105,2015/11/6,71.78,H,26133
50005100,2015/11/6,59.86,M,26134
50005085,2015/11/6,0,L,26135
50005016,2015/11/6,0,L,26136
50005109,2015/11/6,68.94,H,26137
50005089,2015/11/6,88.01,H,26138
50005090,2015/11/7,0,L,26111
50005106,2015/11/7,0,L,26112
50005018,2015/11/7,45,L,26113
50005096,2015/11/7,67.78,M,26114
50005086,2015/11/7,51.64,M,26115
50005013,2015/11/7,92.02,H,26116
50005098,2015/11/7,53.44,M,26117
50005102,2015/11/7,88.89,H,26118
50005020,2015/11/7,50,L,26119
50005099,2015/11/7,45.15,L,26120
50005084,2015/11/7,100.03,H,26121
50005093,2015/11/7,51.82,M,26122
50005097,2015/11/7,47.8,L,26123
50005111,2015/11/7,82.83,H,26124
50005021,2015/11/7,0,L,26125
50005095,2015/11/7,60,M,26126
50005088,2015/11/7,52.46,M,26127
50005017,2015/11/7,71.67,M,26128
50005087,2015/11/7,58.95,M,26129
50005014,2015/11/7,55.84,M,26130
50005023,2015/11/7,84.2,H,26131
50005091,2015/11/7,59.98,M,26132
50005105,2015/11/7,76.02,M,26133
50005100,2015/11/7,78.01,H,26134
50005085,2015/11/7,88.89,H,26135
50005016,2015/11/7,98,H,26136
50005109,2015/11/7,0,L,26137
50005089,2015/11/7,69.71,M,26138
50005090,2015/11/8,89.73,H,26111
50005106,2015/11/8,79.03,H,26112
50005018,2015/11/8,53.21,M,26113
50005096,2015/11/8,0,L,26114
50005086,2015/11/8,56.9,M,26115
50005013,2015/11/8,59,M,26116
50005098,2015/11/8,54.99,M,26117
50005102,2015/11/8,63.17,H,26118
50005020,2015/11/8,40.18,M,26119
50005099,2015/11/8,49.97,M,26120
50005084,2015/11/8,64.87,H,26121
50005093,2015/11/8,50,M,26122
50005097,2015/11/8,66.45,H,26123
50005111,2015/11/8,0,L,26124
50005021,2015/11/8,90.24,H,26125
50005095,2015/11/8,50,M,26126
50005088,2015/11/8,72.35,H,26127
50005017,2015/11/8,0,L,26128
50005087,2015/11/8,52.05,M,26129
50005014,2015/11/8,49.81,M,26130
50005023,2015/11/8,0,L,26131
50005091,2015/11/8,54.03,M,26132
50005105,2015/11/8,0,L,26133
50005100,2015/11/8,0,L,26134
50005085,2015/11/8,0,L,26135
50005016,2015/11/8,0,L,26136
50005109,2015/11/8,91.33,H,26137
50005089,2015/11/8,0,L,26138
50005090,2015/11/9,55.27,M,26111
50005106,2015/11/9,52.05,M,26112
50005018,2015/11/9,50,M,26113
50005096,2015/11/9,85.17,H,26114
50005086,2015/11/9,46.76,L,26115
50005013,2015/11/9,0,L,26116
50005098,2015/11/9,51.34,M,26117
50005102,2015/11/9,0,L,26118
50005020,2015/11/9,60.06,M,26119
50005099,2015/11/9,50.06,M,26120
50005084,2015/11/9,0,L,26121
50005093,2015/11/9,51.2,M,26122
50005097,2015/11/9,48.18,L,26123
50005111,2015/11/9,81.19,H,26124
50005021,2015/11/9,67.36,M,26125
50005095,2015/11/9,50,M,26126
50005088,2015/11/9,0,L,26127
50005017,2015/11/9,56.38,M,26128
50005087,2015/11/9,60,M,26129
50005014,2015/11/9,40.17,L,26130
50005023,2015/11/9,80.02,H,26131
50005091,2015/11/9,49.99,L,26132
50005105,2015/11/9,97.67,H,26133
50005100,2015/11/9,62.01,M,26134
50005085,2015/11/9,85.49,H,26135
50005016,2015/11/9,90.74,H,26136
50005109,2015/11/9,69.96,H,26137
50005089,2015/11/9,87.39,H,26138
50005090,2015/11/10,53.09,M,26111
50005106,2015/11/10,56.03,M,26112
50005018,2015/11/10,50,M,26113
50005096,2015/11/10,75.5,H,26114
50005086,2015/11/10,57.39,M,26115
50005013,2015/11/10,101.62,H,26116
50005098,2015/11/10,50,M,26117
50005102,2015/11/10,98.32,H,26118
50005020,2015/11/10,55.99,M,26119
50005099,2015/11/10,50,M,26120
50005084,2015/11/10,86.82,H,26121
50005093,2015/11/10,50.09,M,26122
50005097,2015/11/10,50,M,26123
50005111,2015/11/10,0,L,26124
50005021,2015/11/10,0,L,26125
50005095,2015/11/10,50,M,26126
50005088,2015/11/10,60.03,M,26127
50005017,2015/11/10,80.17,H,26128
50005087,2015/11/10,45,L,26129
50005014,2015/11/10,70.06,H,26130
50005023,2015/11/10,72.46,H,26131
50005091,2015/11/10,55,M,26132
50005105,2015/11/10,80.05,H,26133
50005100,2015/11/10,0,L,26134
50005085,2015/11/10,0,L,26135
50005016,2015/11/10,0,L,26136
50005109,2015/11/10,0,L,26137
50005089,2015/11/10,0,L,26138
50005090,2015/11/11,0,L,26111
50005106,2015/11/11,0,L,26112
50005018,2015/11/11,50,M,26113
50005096,2015/11/11,0,L,26114
50005086,2015/11/11,43.71,M,26115
50005013,2015/11/11,0,L,26116
50005098,2015/11/11,60.01,M,26117
50005102,2015/11/11,0,L,26118
50005020,2015/11/11,0,L,26119
50005099,2015/11/11,50,M,26120
50005084,2015/11/11,82.63,H,26121
50005093,2015/11/11,53.22,M,26122
50005097,2015/11/11,63.47,M,26123
50005111,2015/11/11,89.85,H,26124
50005021,2015/11/11,88.29,H,26125
50005095,2015/11/11,60,M,26126
50005088,2015/11/11,60.04,M,26127
50005017,2015/11/11,29.91,M,26128
50005087,2015/11/11,62,M,26129
50005014,2015/11/11,40.11,M,26130
50005023,2015/11/11,0,L,26131
50005091,2015/11/11,73.02,H,26132
50005105,2015/11/11,0,L,26133
50005100,2015/11/11,59.14,M,26134
50005085,2015/11/11,78.07,H,26135
50005016,2015/11/11,93.1,H,26136
50005109,2015/11/11,74.68,H,26137
50005089,2015/11/11,96.72,H,26138
50005090,2015/11/12,96.05,H,26111
50005106,2015/11/12,83.02,H,26112
50005018,2015/11/12,50,M,26113
50005096,2015/11/12,95.01,H,26114
50005086,2015/11/12,59.47,M,26115
50005013,2015/11/12,85.36,H,26116
50005098,2015/11/12,50,M,26117
50005102,2015/11/12,0,L,26118
50005020,2015/11/12,42.12,L,26119
50005099,2015/11/12,50,M,26120
50005084,2015/11/12,0,L,26121
50005093,2015/11/12,50,M,26122
50005097,2015/11/12,0,L,26123
50005111,2015/11/12,0,L,26124
50005021,2015/11/12,58.85,M,26125
50005095,2015/11/12,50,L,26126
50005088,2015/11/12,54.67,M,26127
50005017,2015/11/12,74.68,H,26128
50005087,2015/11/12,0,L,26129
50005014,2015/11/12,49.97,M,26130
50005023,2015/11/12,80.45,H,26131
50005091,2015/11/12,47.32,L,26132
50005105,2015/11/12,81.24,H,26133
50005100,2015/11/12,56.19,M,26134
50005085,2015/11/12,0,L,26135
50005016,2015/11/12,60.59,M,26136
50005109,2015/11/12,82.45,H,26137
50005089,2015/11/12,58.59,M,26138
50005090,2015/11/13,52.08,M,26111
50005106,2015/11/13,69.99,H,26112
50005018,2015/11/13,50,M,26113
50005096,2015/11/13,0,L,26114
50005086,2015/11/13,48.92,L,26115
50005013,2015/11/13,70.42,H,26116
50005098,2015/11/13,57.09,M,26117
50005102,2015/11/13,98.88,H,26118
50005020,2015/11/13,50,M,26119
50005099,2015/11/13,44.55,L,26120
50005084,2015/11/13,87.91,H,26121
50005093,2015/11/13,69.76,M,26122
50005097,2015/11/13,90.9,H,26123
50005111,2015/11/13,88.81,H,26124
50005021,2015/11/13,51.04,M,26125
50005095,2015/11/13,50,M,26126
50005088,2015/11/13,39.97,L,26127
50005017,2015/11/13,61.6,M,26128
50005087,2015/11/13,76.7,H,26129
50005014,2015/11/13,50,M,26130
50005023,2015/11/13,65.18,M,26131
50005091,2015/11/13,0,L,26132
50005105,2015/11/13,67.99,M,26133
50005100,2015/11/13,59.64,M,26134
50005085,2015/11/13,89.88,H,26135
50005016,2015/11/13,40.04,L,26136
50005109,2015/11/13,0,L,26137
50005089,2015/11/13,0,L,26138
50005090,2015/11/14,0,L,26111
50005106,2015/11/14,0,L,26112
50005018,2015/11/14,50,M,26113
50005096,2015/11/14,98.31,H,26114
50005086,2015/11/14,54,M,26115
50005013,2015/11/14,0,L,26116
50005098,2015/11/14,40.03,M,26117
50005102,2015/11/14,58.8,M,26118
50005020,2015/11/14,60.12,H,26119
50005099,2015/11/14,50.07,M,26120
50005084,2015/11/14,0,L,26121
50005093,2015/11/14,50.02,M,26122
50005097,2015/11/14,80.85,H,26123
50005111,2015/11/14,0,L,26124
50005021,2015/11/14,0,L,26125
50005095,2015/11/14,50,M,26126
50005088,2015/11/14,66.66,H,26127
50005017,2015/11/14,30.29,M,26128
50005087,2015/11/14,44.9,M,26129
50005014,2015/11/14,55,M,26130
50005023,2015/11/14,83,H,26131
50005091,2015/11/14,46.26,M,26132
50005105,2015/11/14,0,L,26133
50005100,2015/11/14,50.35,M,26134
50005085,2015/11/14,0,L,26135
50005016,2015/11/14,81.78,H,26136
50005109,2015/11/14,97.33,H,26137
50005089,2015/11/14,90.12,H,26138
50005090,2015/11/15,90.49,H,26111
50005106,2015/11/15,71.99,H,26112
50005018,2015/11/15,49.68,M,26113
50005096,2015/11/15,63.22,M,26114
50005086,2015/11/15,49.9,M,26115
50005013,2015/11/15,90.11,H,26116
50005098,2015/11/15,55.57,M,26117
50005102,2015/11/15,0,L,26118
50005020,2015/11/15,50,M,26119
50005099,2015/11/15,39.73,L,26120
50005084,2015/11/15,95.89,H,26121
50005093,2015/11/15,54.38,M,26122
50005097,2015/11/15,27.99,L,26123
50005111,2015/11/15,86.14,H,26124
50005021,2015/11/15,97,H,26125
50005095,2015/11/15,50,M,26126
50005088,2015/11/15,0,L,26127
50005017,2015/11/15,57.33,M,26128
50005087,2015/11/15,58.68,M,26129
50005014,2015/11/15,50,M,26130
50005023,2015/11/15,0,L,26131
50005091,2015/11/15,0,L,26132
50005105,2015/11/15,96.04,H,26133
50005100,2015/11/15,57,M,26134
50005085,2015/11/15,87.03,H,26135
50005016,2015/11/15,0,L,26136
50005109,2015/11/15,0,L,26137
50005089,2015/11/15,63.89,M,26138
50005090,2015/11/16,68.91,H,26111
50005106,2015/11/16,55.02,M,26112
50005018,2015/11/16,40.43,L,26113
50005096,2015/11/16,57.32,M,26114
50005086,2015/11/16,0,L,26115
50005013,2015/11/16,0,L,26116
50005098,2015/11/16,49.95,M,26117
50005102,2015/11/16,87.6,H,26118
50005020,2015/11/16,31.75,L,26119
50005099,2015/11/16,84.26,H,26120
50005084,2015/11/16,0,L,26121
50005093,2015/11/16,50.01,M,26122
50005097,2015/11/16,62.51,M,26123
50005111,2015/11/16,52.36,M,26124
50005021,2015/11/16,0,L,26125
50005095,2015/11/16,46.89,M,26126
50005088,2015/11/16,85,H,26127
50005017,2015/11/16,62.1,M,26128
50005087,2015/11/16,50.02,M,26129
50005014,2015/11/16,54.06,M,26130
50005023,2015/11/16,0,L,26131
50005091,2015/11/16,89.01,H,26132
50005105,2015/11/16,53.45,M,26133
50005100,2015/11/16,46.62,M,26134
50005085,2015/11/16,40.02,L,26135
50005016,2015/11/16,90,H,26136
50005109,2015/11/16,99.96,H,26137
50005089,2015/11/16,72.68,H,26138
50005090,2015/11/17,0,L,26111
50005106,2015/11/17,66.97,H,26112
50005018,2015/11/17,50,M,26113
50005096,2015/11/17,52.81,M,26114
50005086,2015/11/17,58.37,M,26115
50005013,2015/11/17,94.13,H,26116
50005098,2015/11/17,63.41,M,26117
50005102,2015/11/17,60.98,M,26118
50005020,2015/11/17,50,M,26119
50005099,2015/11/17,20.04,L,26120
50005084,2015/11/17,91.59,H,26121
50005093,2015/11/17,49.25,L,26122
50005097,2015/11/17,58.33,M,26123
50005111,2015/11/17,55.8,M,26124
50005021,2015/11/17,95.31,H,26125
50005095,2015/11/17,50,M,26126
50005088,2015/11/17,47.64,L,26127
50005017,2015/11/17,40.63,L,26128
50005087,2015/11/17,49.99,M,26129
50005014,2015/11/17,60,M,26130
50005023,2015/11/17,69.5,H,26131
50005091,2015/11/17,80,H,26132
50005105,2015/11/17,0,L,26133
50005100,2015/11/17,49.38,M,26134
50005085,2015/11/17,82.1,H,26135
50005016,2015/11/17,0,L,26136
50005109,2015/11/17,93.69,H,26137
50005089,2015/11/17,0,L,26138
50005090,2015/11/18,83.83,H,26111
50005106,2015/11/18,0,L,26112
50005018,2015/11/18,50,M,26113
50005096,2015/11/18,51.44,M,26114
50005086,2015/11/18,36.23,L,26115
50005013,2015/11/18,68.39,H,26116
50005098,2015/11/18,49.99,M,26117
50005102,2015/11/18,0,L,26118
50005020,2015/11/18,48.14,M,26119
50005099,2015/11/18,50,M,26120
50005084,2015/11/18,58.13,H,26121
50005093,2015/11/18,50,M,26122
50005097,2015/11/18,0,L,26123
50005111,2015/11/18,50.85,M,26124
50005021,2015/11/18,0,L,26125
50005095,2015/11/18,50,M,26126
50005088,2015/11/18,56.74,M,26127
50005017,2015/11/18,72.44,H,26128
50005087,2015/11/18,55.01,M,26129
50005014,2015/11/18,39.37,M,26130
50005023,2015/11/18,82.66,H,26131
50005091,2015/11/18,30.05,L,26132
50005105,2015/11/18,70.46,H,26133
50005100,2015/11/18,53.96,M,26134
50005085,2015/11/18,0,L,26135
50005016,2015/11/18,100.3,H,26136
50005109,2015/11/18,0,L,26137
50005089,2015/11/18,101,H,26138
50005090,2015/11/19,59.79,H,26111
50005106,2015/11/19,70.01,H,26112
50005018,2015/11/19,49,M,26113
50005096,2015/11/19,47.7,M,26114
50005086,2015/11/19,51.12,M,26115
50005013,2015/11/19,0,L,26116
50005098,2015/11/19,47.05,M,26117
50005102,2015/11/19,88.89,H,26118
50005020,2015/11/19,50,M,26119
50005099,2015/11/19,44.95,M,26120
50005084,2015/11/19,0,L,26121
50005093,2015/11/19,49.81,M,26122
50005097,2015/11/19,93.83,H,26123
50005111,2015/11/19,52.51,M,26124
50005021,2015/11/19,61.04,H,26125
50005095,2015/11/19,60,H,26126
50005088,2015/11/19,52.1,M,26127
50005017,2015/11/19,38.09,L,26128
50005087,2015/11/19,56.09,M,26129
50005014,2015/11/19,50,M,26130
50005023,2015/11/19,0,L,26131
50005091,2015/11/19,67.03,H,26132
50005105,2015/11/19,0,L,26133
50005100,2015/11/19,57.57,M,26134
50005085,2015/11/19,81.4,H,26135
50005016,2015/11/19,0,L,26136
50005109,2015/11/19,0,L,26137
50005089,2015/11/19,0,L,26138
50005090,2015/11/20,0,L,26111
50005106,2015/11/20,0,L,26112
50005018,2015/11/20,0,L,26113
50005096,2015/11/20,57.02,M,26114
50005086,2015/11/20,58.1,M,26115
50005013,2015/11/20,94.27,H,26116
50005098,2015/11/20,50,M,26117
50005102,2015/11/20,55.24,M,26118
50005020,2015/11/20,39.07,L,26119
50005099,2015/11/20,50,M,26120
50005084,2015/11/20,90.21,H,26121
50005093,2015/11/20,50,M,26122
50005097,2015/11/20,50.02,M,26123
50005111,2015/11/20,63.46,M,26124
50005021,2015/11/20,59.73,M,26125
50005095,2015/11/20,50,M,26126
50005088,2015/11/20,53.83,M,26127
50005017,2015/11/20,74.48,H,26128
50005087,2015/11/20,41.03,L,26129
50005014,2015/11/20,55.3,M,26130
50005023,2015/11/20,82.11,H,26131
50005091,2015/11/20,44,L,26132
50005105,2015/11/20,93,H,26133
50005100,2015/11/20,49.63,L,26134
50005085,2015/11/20,0,L,26135
50005016,2015/11/20,87.54,H,26136
50005109,2015/11/20,79.47,H,26137
50005089,2015/11/20,82.23,H,26138
50005090,2015/11/21,87.23,H,26111
50005106,2015/11/21,41.84,M,26112
50005018,2015/11/21,55,M,26113
50005096,2015/11/21,60.59,M,26114
50005086,2015/11/21,38.07,L,26115
50005013,2015/11/21,0,L,26116
50005098,2015/11/21,56.63,M,26117
50005102,2015/11/21,0,L,26118
50005020,2015/11/21,50,M,26119
50005099,2015/11/21,37.2,L,26120
50005084,2015/11/21,76.96,H,26121
50005093,2015/11/21,49.81,M,26122
50005097,2015/11/21,53.23,M,26123
50005111,2015/11/21,73.45,H,26124
50005021,2015/11/21,64.21,M,26125
50005095,2015/11/21,40,L,26126
50005088,2015/11/21,41.26,M,26127
50005017,2015/11/21,36.72,L,26128
50005087,2015/11/21,60.13,M,26129
50005014,2015/11/21,50,M,26130
50005023,2015/11/21,71.06,H,26131
50005091,2015/11/21,61.02,M,26132
50005105,2015/11/21,78.96,H,26133
50005100,2015/11/21,67.72,H,26134
50005085,2015/11/21,87,H,26135
50005016,2015/11/21,0,L,26136
50005109,2015/11/21,0,L,26137
50005089,2015/11/21,78.91,H,26138
